name,price
Rajma and Chawal Lunchbox,₹199
Rajma & Rumali Roti Lunchbox,₹259
Chicken Kheema & Rumali Roti Lunchbox,₹299
Dal Makhani & Rumali Roti Lunchbox,₹249
Smoked Butter Chicken & Rumali Roti Lunchbox,₹359
Chicken Mughlai Gravy with Rumali Roti,₹309
Pindi Chole with Rumali Roti Lunchbox,₹249
Paneer Lababdar Rumali Roti Lunchbox,₹339
Paneer Tikka Masala Rumali Roti Lunchbox,₹339
Chicken Lababdar Rumali Roti Lunchbox,₹339
Chicken Tikka Masala Rumali Roti Lunchbox,₹329
Mushroom Masala with Rumali Roti Lunchbox,₹339
Mughlai Egg Curry with Rumali Roti Lunchbox,₹289
Chicken Haleem & Rumali Roti Lunchbox,₹309
Rajma Chawal LunchBox,₹199
"Punjabi Thali - Chole, Dal Makhani and Chawal",₹271
Dal Makhani & Rice Lunchbox,₹199
"Dal Makhani, Rice Lunchbox with Gulab Jamun (2 pcs)",₹299
Chicken Kheema & Rice LunchBox,₹249
Smoked Butter Chicken & Rice LunchBox,₹299
"Smoked Butter Chicken, Rice Lunchbox with Gulab Jamun (2 pcs)",₹329
Chicken Mughlai Gravy with Rice,₹269
Mughlai Egg Curry & Rice Lunchbox,₹229
Gobi Paratha With Curd and Green Chutney,₹239
Gobi Paratha With Dal Makhani,₹259
Gobi Paratha With Pindi Chole,₹269
Gobi Paratha With Curd & Butter,₹229
Gobi Paratha with Double Omelette Combo,₹259
Aloo Paratha With Dal Makhani,₹229
Aloo Paratha with Pindi Chole Lunchbox,₹259
Aloo Paratha Curd Meal (2 pcs),₹189
Double Omelette & Sausages with Masala Bread,₹159
Double Omelette & Meatballs with Masala Bread,₹169
Double Omelette with Masala Bread,₹179
Double Omelette & Wedges with Masala Bread,₹199
Aloo Paratha with Double Omelette Combo,₹229
Masala Cheesy Omelette with Kulcha Bread,₹179
Sabudana Vada and Imli Chutney,₹129
Aloo Pattice and Imli Chutney,₹149
Rajma Masala Jumbo Lunchbox,₹285
Pindi Chole Jumbo Lunchbox,₹277
Mushroom Masala Jumbo Lunchbox,₹385
Chicken Kheema Jumbo Lunchbox,₹335
Smoked Butter Chicken Jumbo Lunchbox,₹429
Chicken Mughlai Gravy Jumbo Lunchbox,₹335
Mughlai Egg Curry Jumbo Lunchbox,₹325
Rajma & Bread Kulcha Lunchbox,₹209
Pindi Chole with Kulcha Lunchbox,₹209
Pindi Chole Kulcha Lunchbox with Gulab Jamun (2 pcs) Combo,₹299
Dal Makhani & Bread Kulcha Lunchbox,₹209
Mushroom Masala with Kulcha Lunchbox,₹289
Chicken Kheema & Bread Kulcha Lunchbox,₹255
Smoked Butter Chicken & Bread Kulcha Lunchbox,₹319
Chicken Mughlai Gravy with Kulcha,₹269
Chicken Haleem with Kulcha Lunchbox,₹269
Mughlai Egg Curry & Bread Kulcha Lunchbox,₹235
Rajma and Paratha Lunchbox,₹199
Pindi Chole & Paratha Lunchbox,₹199
Dal Makhani & Paratha Lunchbox,₹229
Mushroom Masala with Mini Triangle Paratha Lunchbox,₹299
Chicken Kheema and Paratha Lunchbox,₹259
Smoked Butter Chicken and Paratha Lunchbox,₹329
Chicken Mughlai Gravy & Paratha Lunchbox,₹259
Chicken Haleem with Paratha Lunchbox,₹279
Mughlai Egg Curry with Paratha Lunchbox,₹269
Mushroom Masala with Lacha Paratha Lunchbox,₹325
Mutton Bhuna with Laccha Paratha,₹449
Mutton Bhuna with Paratha,₹429
Sabudana Khichdi Curd Meal with Aloo Pattice,₹259
Sabudana Khichdi & Curd Meal,₹239
Rajgira Halwa (300 gm),₹199
Kuttu Paneer Pakoda (4 Pcs),₹209
Aloo Pattice (2 pcs) & Sabudana Wada (2 pcs),₹125
Sabudana Paratha (2 pcs) Curd Meal,₹249
Sabudana Vada & Imli Chutney,₹129
Upvas Pattice & Imli Chutney,₹149
Sabudana Paratha Tub - 3 pcs,₹239
Rajgira Halwa (80 gm),₹69
Kuttu Paneer Pakoda (2 Pcs),₹119
Sabudana Paratha Curd Meal with Kuttu Paneer Pakoda,₹399
Upvas Aloo Pattice & Kuttu Paneer Pakoda with Imly Chutney,₹239
Sabudana Vada Meal with Kuttu Paneer Pakoda & Rajgira Halwa,₹359
Sabudana Khichdi Meal with Kuttu Paneer Pakoda & Rajgira Halwa,₹399
Rajma & Chapati Lunchbox,₹199
"Rajma, Chapati Lunchbox with Gulab Jamun (2 pcs)",₹209
Pindi Chole with Chapati Lunchbox,₹199
Dal Makhani & Chapati Lunchbox,₹199
Mushroom Masala with Chapati Lunchbox,₹279
Chicken Kheema & Chapati Lunchbox,₹245
"Chicken Kheema, Chapati Lunchbox with Gulab Jamun (2 pcs)",₹259
Smoked Butter Chicken & Chapati Lunchbox,₹309
Chicken Mughlai Gravy with Chapati,₹249
Mughlai Egg Curry with Chapati Lunchbox,₹239
Paneer Biryani Bowl,₹249
Veg Biryani Bowl,₹239
Chicken Biryani Bowl (Boneless),₹259
Egg Biryani Bowl,₹229
Paneer Biryani Lunchbox,₹335
Mutton Biryani Lunchbox,₹465
Veg Biryani Lunchbox,₹305
Chicken Biryani Lunchbox,₹395
Dal Makhani Bowl,₹179
Rajma Masala Bowl,₹159
Pindi Chole Bowl,₹179
Chicken Kheema Bowl,₹219
Smoked Butter Chicken Bowl,₹329
Tandoori Paneer Tikka Masala,₹279
Mushroom Masala Bowl (500 gms),₹479
Mughlai Egg Curry (500 gms),₹305
Wheat Paratha (3 pcs),₹159
Whole wheat Triangle paratha (6 pcs),₹199
Kulcha Tub (2 pcs),₹79
Chapati Tub (6 pcs),₹99
Sabudana Paratha Tub (3 pcs),₹239
Flavourful Steamed Rice Bowl,₹129
Rumali Roti (2 Pcs),₹139
Rumali Roti (4 Pcs),₹239
Falafel Nuggets with Mayo Dip,₹109
Dahi Kebab (3 Pcs),₹149
Potato Wedges (Medium),₹89
Potato Chilli Shots with Mayo Dip,₹109
Chicken Tikki (5 pcs),₹139
Cheesy Chicken Meatballs,₹139
Pizza Puff (Pack of 2),₹89
Pizza Puff (Pack of 4),₹159
Skimmed Mint Buttermilk,₹50
Masala Lemonade (200 mL),₹49
Jeera Masala Soda (350 mL),₹57
Thums Up Can (330 mL),₹66.50
Lemon Ice Tea (250 mL),₹59
Coca Cola Bottle (475 mL),₹66.50
Coke Zero 330 ml Can,₹66.50
Lemon Soda (250 mL),₹49
Rajgira Halwa - 80 gm,₹69
Moong Dal Halwa,₹99
Gajar Halwa,₹89
Gulab Jamun,₹39
Salted Caramel Ice Cream,₹99
Choco Lava Cake,₹99
Pineapple Jar Cake,₹129
New York Cheesecake,₹179
Death by Chocolate Cake Jar,₹149
Rich Red Velvet Pastry,₹139
Mango Cheesecake,₹199
Blueberry Cheesecake,₹199
Choco Chip Brownie,₹99
Walnut Brownie,₹99
Almond Brownie,₹79
Chocolate Cheesecake Slice,₹199
Gujiya - Pack of 2,₹99
Gujiya - Pack of 4,₹169
Rajgira Halwa - 300 gm,₹199
Almond Brownie & Lemon Soda Combo,₹119
