Platform,Discounts,Coupons
swiggy,"Flat ₹125 Off, 10% Off Upto ₹100, Flat ₹25 Off, Flat ₹75 Off",No Coupons
Item Name,MRP,Discounted Price
Murgh Seekh Kebab Kathi Roll,299,N/A
Chicken Tikka Kathi Roll,259,199
Beetroot & Peanut Kebab,139,N/A
Falafel-E-Khaas,119,99
Murgh Kefta (Chicken Meatball Kebab),159,N/A
Murgh Koobideh (Chicken Tikki Kebab),135,N/A
Hara Bhara Kebab,159,N/A
Gosht-E-Galouti Kebab (Mutton Galauti Kebab),299,N/A
Murgh Seekh Kebab,215,N/A
Aloo Chaap Tikki,139,N/A
Murgh Malai Kebab (6 Pcs),399,N/A
Beetroot & Peanut Kebab (6 pcs) & Hara Bhara Kebab (6 Pcs) Combo,489,N/A
Gosht Seekh Kebab (Mutton Seekh Kebab),329,N/A
Lazeez Bhuna Murgh Biryani (Dum Chicken Biryani - Serves 1),399,N/A
"Dum Gosht Biryani (Dum Mutton Biryani, Boneless - Serves 1)",569,N/A
Zaikedaar Paneer Biryani (Paneer Dum Biryani - Serves 1),399,N/A
Subz-e-Biryani (Dum Veg Biryani - Serves 1),379,N/A
Murgh Afghani Tikka Biryani (Creamy Chicken Tikka - Serves 1),465,N/A
Murgh Tikka Biryani (Chicken Tikka Dum Biryani - Serves 1),465,N/A
Paneer Subz Biryani (Paneer Dum and Veg Biryani - Serves 1),389,N/A
Murgh Seekh Kebab Kathi Roll,299,N/A
Chicken Tikka Kathi Roll,259,199
Beetroot & Peanut Kebab,139,N/A
Falafel-E-Khaas,119,99
Murgh Kefta (Chicken Meatball Kebab),159,N/A
Murgh Koobideh (Chicken Tikki Kebab),135,N/A
Hara Bhara Kebab,159,N/A
Gosht-E-Galouti Kebab (Mutton Galauti Kebab),299,N/A
Murgh Seekh Kebab,215,N/A
Aloo Chaap Tikki,139,N/A
Murgh Malai Kebab (6 Pcs),399,N/A
Beetroot & Peanut Kebab (6 pcs) & Hara Bhara Kebab (6 Pcs) Combo,489,N/A
Gosht Seekh Kebab (Mutton Seekh Kebab),329,N/A
Lazeez Bhuna Murgh Biryani (Dum Chicken Biryani - Serves 1),399,N/A
"Dum Gosht Biryani (Dum Mutton Biryani, Boneless - Serves 1)",569,N/A
Zaikedaar Paneer Biryani (Paneer Dum Biryani - Serves 1),399,N/A
Subz-e-Biryani (Dum Veg Biryani - Serves 1),379,N/A
Murgh Afghani Tikka Biryani (Creamy Chicken Tikka - Serves 1),465,N/A
Murgh Tikka Biryani (Chicken Tikka Dum Biryani - Serves 1),465,N/A
Paneer Subz Biryani (Paneer Dum and Veg Biryani - Serves 1),389,N/A
Do Gosht ki Dum Biryani (Mutton & Chicken Dum Biryani - Serves 1),509,N/A
Tokhm-e-Biryani (Dum Egg Biryani - Serves 1),379,N/A
Dumdaar Hyderabadi Rice,199,N/A
Lazeez Bhuna Murgh (Chicken Dum Biryani Boneless - Serves - 2).,799,N/A
Dum Gosht (Mutton Dum Biryani- Boneless - Serves 2).,985,N/A
Zaikedaar Paneer (Paneer Dum Biryani - Serves 2).,719,N/A
Subz-E-Biryani (Veg Dum Biryani - Serves 2).,669,N/A
Murgh Afghani Tikka (Creamy Chicken Tikka Dum Biryani - Serves 2).,879,N/A
Murgh Tikka (Chicken Tikka Dum Biryani - Serves-2).,879,N/A
Paneer Subz (Classic Paneer and Veg Dum Biryani - Serves 2).,719,N/A
Do Gosht ki Dum Biryani (Mutton & Chicken Dum Biryani Serves 2).,975,N/A
Tokhm-E-Biryani (Egg Dum Biryani - Serves 2).,719,N/A
Lazeez Bhuna Murgh Biryani (Dum Chicken Biryani - Serves 2),849,N/A
"Dum Gosht Biryani (Dum Mutton Biryani, Boneless - Serves 2)",1049,N/A
Zaikedaar Paneer Biryani (Paneer Dum Biryani - Serves 2),799,N/A
Subz-e-Biryani (Dum Veg Biryani - Serves 2),749,N/A
Murgh Afghani Tikka Biryani (Creamy Chicken Tikka - Serves 2),929,N/A
Murgh Tikka Biryani (Chicken Tikka Dum Biryani - Serves 2),979,N/A
Paneer Subz Biryani (Paneer Dum and Veg Biryani - Serves 2),769,N/A
Do Gosht ki Dum Biryani (Mutton & Chicken Dum Biryani - Serves 2),1025,N/A
Tokhm-e-Biryani (Dum Egg Biryani - Serves 2),769,N/A
Taj-e-Khumb Biryani (Mushroom Biryani - Serves 2),779,N/A
Lazeez Bhuna Murgh (Chicken Dum Biryani Boneless - Serves 4).,1449,N/A
Dum Gosht (Mutton Dum Biryani - Boneless - Serves 4).,1869,N/A
Zaikedaar Paneer (Paneer Dum Biryani - Serves 4).,1305,N/A
Subz-E-Biryani (Veg Dum Biryani - Serves 4).,1229,N/A
Murgh Afghani Tikka (Creamy Chicken Tikka Dum Biryani - Serves 4).,1869,N/A
Murgh Tikka (Chicken Tikka Dum Biryani - Serves 4).,1575,N/A
Paneer Subz (Classic Paneer and Veg Dum Biryani - Serves 4).,1299,N/A
Do Gosht ki Dum Biryani(Mutton & Chicken Dum Biryani Serves 4).,1749,N/A
Tokhm-E-Biryani (Egg Dum Biryani - Serves 4).,1449,N/A
Lazeez Bhuna Murgh Biryani (Dum Chicken Biryani - Serves 4-5),1599,N/A
"Dum Gosht Biryani (Dum Mutton Biryani, Boneless - Serves 4-5)",1999,N/A
Zaikedaar Paneer Biryani (Paneer Dum Biryani - Serves 4-5),1499,N/A
Subz-e-Biryani (Dum Veg Biryani - Serves 4-5),1399,N/A
Murgh Afghani Tikka Biryani (Creamy Chicken Tikka - Serves 4-5),1799,N/A
Murgh Tikka Biryani (Chicken Tikka Dum Biryani - Serves 4-5),1799,N/A
Paneer Subz Biryani (Paneer Dum and Veg Biryani - Serves 4-5),1449,N/A
Do Gosht ki Dum Biryani (Mutton & Chicken Dum Biryani - Serves 4-5),1999,N/A
Tokhm-e-Biryani (Dum Egg Biryani - Serves 4-5),1549,N/A
Taj-e-Khumb Biryani (Mushroom Biryani - Serves 4-5),1499,N/A
Gosht Haleem (Mutton Haleem),399,N/A
Murgh Haleem (Chicken Haleem),329,N/A
Shahi Biryani with Haleem Combo (Serves 1-2),669,N/A
Mini Kebabs with Haleem Combo (Serves 1-2),429,N/A
Shahi Dawat with Haleem (Serves 2),1069,N/A
Shaandaar Dawat with Haleem (Serves 3),1369,N/A
Murgh Haleem (Chicken Haleem - 1200gms),969,N/A
Gosht Haleem (Mutton Haleem - 1200gms),1229,N/A
Gosht-e-Haleem & Bread combo,459,N/A
Murgh-e-Haleem & Bread combo,399,N/A
Dum Gosht Biryani & Gosht-e-Haleem combo,929,N/A
Lazeez Bhuna Murgh Biryani & Murgh-e-Haleem combo,649,N/A
Toofani Veg Biryani Combo (Serves 1),379,N/A
Toofani Non-Veg Biryani Combo (Serves 1),449,N/A
Royal Murgh Curry Combo (Serves 1),369,N/A
Shabnami Murgh Lababdar,299,199
Paneer Lababdar,279,199
Aftaabi Murgh Tikka Masala,299,199
Aftaabi Paneer Tikka Masala,279,199
Aftaabi Mushroom Masala,289,199
Rumali Roti,89,N/A
Nafees Laccha Paratha (Pack of 2),89,N/A
Nafees Laccha Paratha (Pack of 4),169,N/A
Dilkhush Narm Kulcha (Pack of 2),89,N/A
Dilkhush Narm Kulcha (Pack of 4),169,N/A
Afreen Basmati Rice (300 gm),79,N/A
Durbari Tawa Paratha (Pack of 3),89,N/A
Shaandaar Murgh Curries Combo (Serves 2),899,N/A
Shaandaar Paneer Curries Combo (Serves 2),879,N/A
Rivayati Murgh Curry Combo (Serves 2),625,N/A
Rivayati Paneer Curry Combo (Serves 2),605,N/A
Royal Paneer Curry Combo (Serves 1),349,N/A
Royal Paneer Daawat Combo (Serves 2),649,N/A
Mughlai Gravy,49,N/A
Mint Raita (80 gm),39,N/A
Khasta Murgh Samosa (Chicken Samosa),169,N/A
Coke Zero 330 ml Can,66.50,N/A
Coca Cola Bottle (475 mL),66.50,N/A
Thums Up Can (330 mL),66.50,N/A
Ayran (Buttermilk),65,N/A
Masala Lemonade (200 mL),49,N/A
Jeera Masala Soda (350 mL),57,N/A
Gulab Jamun (Pack Of 2),65,N/A
Moong Dal Halwa (80 gm),99,N/A
Moong Dal Halwa (300gm),299,N/A
Gulab Jamun Box (Pack of 10),315,N/A
Gajar Halwa (80 gm),89,N/A
Chocolate Cheesecake Slice,199,N/A
Gulab Jamun - Pack of 1,39,N/A
Gujiya (Pack of 2),99,N/A
Gujiya (Pack of 4),169,N/A
Belgian Chocolate Ice Cream,99,N/A
Salted Caramel Ice Cream,99,N/A
Strawberry Ice Cream,99,N/A
Vanilla Ice Cream,99,N/A
Kesar Thandai Ice Cream,99,N/A
Dry Fruit Kulfi Ice Cream,99,N/A
Alphonso Mango Ice Cream,99,N/A
